name,schema_name,location,url,comment
tree_bonsai,Location,tree_bonsai.csv,,"Bonsai master classification for location"
tree_baci,Location,tree_baci.csv,"http://www.cepii.fr/CEPII/en/bdd_modele/bdd_modele_item.asp?id=37","Subtable of BACI country coverage"
tree_eurostat,Location,tree_eurostat.csv,"https://ec.europa.eu/eurostat/web/metadata","Subtable of Eurostat country coverage"
tree_exiohybrid4,Location,tree_exiohybrid4.csv,,"EXIOBASE HYBRID v4 - location codes"
tree_iso_3166_1,Location,tree_iso_3166_1.csv,"https://unece.org/trade/cefact/UNLOCODE-Download","ISO 3166-1 alpha-1 codes"
tree_iso_3166_2,Location,tree_iso_3166_2.csv,"https://unece.org/trade/cefact/UNLOCODE-Download","ISO 3166-2 subdivision codes"
tree_prodcom,Location,tree_prodcom.csv,,"Subtable of PRODCOM country coverage"
tree_unido_indstat,Location,tree_unido_indstat.csv,"https://stat.unido.org/portal/dataset/getDataset/COUNTRY_PROFILE","Subtable of UNDIO Industrial Statistics (INDSTAT) country coverage"
tree_undata_energy,Location,tree_undata_energy.csv,"https://unstats.un.org/unsd/energystats/api/","Subtable of UN energy data country coverage"
tree_urban_rural,Location,tree_urban_rural.csv,,"specific Bonsai classification for locations"
conc_iso_3166_1_exiohybrid4,LocationCorrespondence,conc_iso_3166_1_exiohybrid4.csv,,"Concordance between ISO 3166-1 and Hybrid Exiobase 4"
conc_iso_3166_1_iso_3166_2,LocationCorrespondence,conc_iso_3166_1_iso_3166_2.csv,,"Concordance between ISO 3166-1 and ISO 3166-2"
conc_prodcom_iso_3166_1,LocationCorrespondence,conc_prodcom_iso_3166_1.csv,,"Concordance between Prodcom and ISO 3166-1"
conc_undata_energy_iso_3166_1,LocationCorrespondence,conc_undata_energy_iso_3166_1.csv,,"Concordance between UN Energy Data and ISO 3166-1"
conc_baci_iso_3166_1,LocationCorrespondence,conc_baci_iso_3166_1.csv,,"Concordance between BACI and ISO 3166-1"
conc_unido_indstat_iso_3166_1,LocationCorrespondence,conc_unido_indstat_iso_3166_1.csv,,"Concordance between UNDIO INDSTAT and ISO 3166-1"
dim_level,Level,dim_level.csv,,"levels of the classification codes"